Gene_ID	WT.0h.rep1	WT.0h.rep2	WT.0h.rep3	WT.3h.rep1	WT.3h.rep2	WT.3h.rep3	WT.24h.rep1	WT.24h.rep2	WT.24h.rep3
AT1G62085	4.273492548	4.698587518	3.883038669	6.671227841	5.589597231	4.851786617	8.795190114	7.20598841	8.030135339
AT1G62110	3.823066183	4.077062065	4.204381503	3.713959481	4.516266039	4.493327804	8.083997745	6.98042893	6.148479922
AT1G62260	2.525999792	2.532713318	2.344489315	2.504680696	2.546405865	2.662976711	4.34248168	4.844308287	3.927441064
AT1G62300	13.94175144	16.65983004	13.67032726	17.95133985	19.07938248	18.77917092	27.54803199	30.025041	29.08612016
AT1G08507	1.258660492	1.059979858	1.097116792	1.440043348	2.788070646	2.551756998	2.315275473	2.744432025	3.346831963
AT1G62310	4.367866778	4.647648459	4.752172325	4.443253182	5.229469718	5.648989745	9.435676699	11.99773951	12.28017112
AT1G62320	0.855873167	0.64569235	0.678205	0.81600934	0.829435543	0.798174698	3.114490726	5.95622118	6.681108189
AT1G62430	16.23398952	14.68932771	14.0091329	22.53576759	20.99284431	21.43496816	45.62739445	50.316276	55.51239386
AT1G62570	29.36379759	28.92403709	27.23590861	44.89195547	50.12313891	42.67255599	1074.522007	1036.166209	1207.781507
AT1G62670	3.09183194	3.565134295	3.339836937	4.108939573	4.328026919	5.160862545	6.897972424	5.05148084	5.216618894
AT1G62710	19.35531928	17.68495839	15.26129565	17.57579771	16.61315711	16.10912887	195.8514496	123.3409013	122.4872387
AT1G62720	0.705189553	0.497145175	0.165100399	0.254268309	0.329658049	0.405507128	2.432851699	1.332606236	1.931139467
AT1G62730	6.657267357	6.783977115	5.654756778	6.523875299	6.966740454	6.36158954	11.69788421	10.33646846	11.61201122
AT1G62930	3.0852899	3.870346024	4.196310748	5.353688326	5.255358695	5.564987339	9.147205994	8.540499101	7.998819578
AT1G63245	2.190641438	1.99858405	1.556317587	3.070974537	2.097575295	2.150161705	3.612773373	3.354572128	2.984241102
AT1G63250	3.918447793	3.923682347	3.642728982	3.468409377	3.125631843	2.921879247	12.02334103	8.975994302	10.19423355
AT1G63270	7.548442222	8.357245234	6.641939011	10.33049278	8.773973835	9.698532417	20.47874883	17.42187626	17.97784837
